serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens,sentiment_vader,sentiment_textblob,sentiment_transformer,transformer_score,keywords_rake,keywords_yake,keywords_tfidf
271,option C> ensure fault tolerance,option C> ensure fault tolerance,option c ensure fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.5117332339286804,['option c ensure fault tolerance'],"['option', 'tolerance', 'ensure', 'fault']","['option', 'ensure', 'tolerance', 'fault']"
272,All 4 options are correct,All 4 options are correct,all options are correct,"['option', 'correct']",Neutral,Neutral,POSITIVE,0.999670147895813,"['options', 'correct']","['correct', 'options']","['options', 'correct']"
273,C) Ensures fault tolerance.,C) Ensures fault tolerance.,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
274,Correct answer is c: Ensures fault tolerance.. which Protects the data when a node crashes,Correct answer is c: Ensures fault tolerance.. which Protects the data when a node crashes,correct answer is c: ensures fault tolerance which protects the data when a node crashes,"['correct', 'answer', 'c', ':', 'ensure', 'fault', 'tolerance', 'protect', 'data', 'node', 'crash']",Positive,Neutral,POSITIVE,0.7600338459014893,"['ensures fault tolerance', 'node crashes', 'correct answer', 'protects', 'data', 'c']","['correct', 'ensures', 'crashes', 'answer', 'fault', 'tolerance', 'protects', 'data', 'node']","['crashes', 'node', 'correct', 'data', 'ensures', 'answer', 'tolerance', 'fault']"
275,The answer is option (C) Ensure fault tolerance.,The answer is option (C) Ensure fault tolerance.,the answer is option c ensure fault tolerance,"['answer', 'option', 'c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9481875896453856,"['option c ensure fault tolerance', 'answer']","['tolerance', 'answer', 'option', 'ensure', 'fault']","['option', 'ensure', 'answer', 'tolerance', 'fault']"
276,The answer is c ❤️,The answer is c  red_heart ,the answer is c red_heart,"['answer', 'c', 'red_heart']",Neutral,Neutral,POSITIVE,0.6840993165969849,"['c red_heart', 'answer']","['heart', 'red', 'answer']","['red_heart', 'answer']"
277,Option C is the answer because it avoids data loss,Option C is the answer because it avoids data loss,option c is the answer because it avoids data loss,"['option', 'c', 'answer', 'avoid', 'data', 'loss']",Negative,Neutral,POSITIVE,0.995960533618927,"['avoids data loss', 'option c', 'answer']","['option', 'loss', 'answer', 'avoids', 'data']","['data', 'option', 'answer']"
278,3X replication of schema in HDFS ensures fault tolerance,3X replication of schema in HDFS ensures fault tolerance,x replication of schema in hdfs ensures fault tolerance,"['x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.7524623274803162,"['hdfs ensures fault tolerance', 'x replication', 'schema']","['tolerance', 'replication', 'schema', 'hdfs', 'ensures', 'fault']","['schema', 'hdfs', 'replication', 'ensures', 'tolerance', 'fault']"
279,C) Ensures fault tolerance,C) Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
280,the answer is  c)Ensures fault tolerance,the answer is  c)Ensures fault tolerance,the answer is censures fault tolerance,"['answer', 'censure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9971526861190796,"['censures fault tolerance', 'answer']","['tolerance', 'answer', 'censures', 'fault']","['censures', 'answer', 'tolerance', 'fault']"
281,3 time factor is used for fault tolerance,3 time factor is used for fault tolerance,time factor is used for fault tolerance,"['time', 'factor', 'use', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9904912114143372,"['time factor', 'fault tolerance', 'used']","['time', 'tolerance', 'factor', 'fault']","['time', 'used', 'tolerance', 'fault']"
282,"Option C :Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance","Option C :Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance",option c :advantage of the x replication schema in hdfs is ensure fault tolerance,"['option', 'c', ':', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9183486700057985,"['x replication schema', 'ensure fault tolerance', 'option c', 'hdfs', 'advantage']","['option', 'advantage', 'tolerance', 'replication', 'schema', 'hdfs', 'ensure', 'fault']","['advantage', 'schema', 'hdfs', 'replication', 'option', 'ensure', 'tolerance', 'fault']"
283,C.  To ensure fault tolerance,C.  To ensure fault tolerance,c to ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9742709398269652,"['ensure fault tolerance', 'c']","['tolerance', 'ensure', 'fault']","['ensure', 'tolerance', 'fault']"
284,c) ensures fault tolerance,c) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
285,Option C: to Ensure fault tolerance,Option C: to Ensure fault tolerance,option c: to ensure fault tolerance,"['option', 'c', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9820901155471802,"['ensure fault tolerance', 'option c']","['option', 'tolerance', 'ensure', 'fault']","['option', 'ensure', 'tolerance', 'fault']"
286,The advantage of 3X replication schema in HDFS is It Ensures fault tolerance,The advantage of 3X replication schema in HDFS is It Ensures fault tolerance,the advantage of x replication schema in hdfs is it ensures fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.9611108303070068,"['x replication schema', 'ensures fault tolerance', 'hdfs', 'advantage']","['tolerance', 'advantage', 'replication', 'schema', 'hdfs', 'ensures', 'fault']","['advantage', 'schema', 'hdfs', 'replication', 'ensures', 'tolerance', 'fault']"
287,he advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,he advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,he advantage of the x replication schema in hdfs is option c: to ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9849671721458436,"['x replication schema', 'ensure fault tolerance', 'option c', 'hdfs', 'advantage']","['tolerance', 'advantage', 'replication', 'schema', 'hdfs', 'option', 'ensure', 'fault']","['advantage', 'schema', 'hdfs', 'replication', 'option', 'ensure', 'tolerance', 'fault']"
288,C) Ensure fault tolerance,C) Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.7543250322341919,['c ensure fault tolerance'],"['tolerance', 'ensure', 'fault']","['ensure', 'tolerance', 'fault']"
289,"Informative video with one Caveat.  With respect to replication.  The phrase ""at no cost"" is not  true.  There is a cost of disk space.  For the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned.","Informative video with one Caveat.  With respect to replication.  The phrase ""at no cost"" is not  true.  There is a cost of disk space.  For the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned.",informative video with one caveat with respect to replication the phrase at no cost is not true there is a cost of disk space for the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned,"['informative', 'video', 'one', 'caveat', 'respect', 'replication', 'phrase', 'cost', 'true', 'cost', 'disk', 'space', 'purpose', 'video', 'pedantic', 'point', 'architect', 'budget', 'set', 'reason', 'mention']",Negative,Negative,POSITIVE,0.6463822722434998,"['pedantic point', 'one caveat', 'disk space', 'budget set', 'informative video', 'video', 'true', 'respect', 'replication', 'reasons']","['video', 'cost', 'informative', 'mentioned', 'caveat', 'respect', 'replication', 'phrase', 'true', 'disk']","['cost', 'video', 'informative', 'replication']"
290,Answer is Fault tolerance,Answer is Fault tolerance,answer is fault tolerance,"['answer', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9962060451507568,"['fault tolerance', 'answer']","['answer', 'tolerance', 'fault']","['answer', 'tolerance', 'fault']"
291,C. Ensure fault tolerance,C. Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.7543250322341919,['c ensure fault tolerance'],"['tolerance', 'ensure', 'fault']","['ensure', 'tolerance', 'fault']"
292,the answer is : ensures fault tolerance.,the answer is : ensures fault tolerance.,the answer is : ensures fault tolerance,"['answer', ':', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.6717641353607178,"['ensures fault tolerance', 'answer']","['ensures', 'tolerance', 'answer', 'fault']","['ensures', 'answer', 'tolerance', 'fault']"
293,"C
is the correct one","C
is the correct one",c is the correct one,"['c', 'correct', 'one']",Neutral,Neutral,POSITIVE,0.9997424483299256,"['correct one', 'c']",['correct'],['correct']
294,Option b c and d is the advantage of hdfs,Option b c and d is the advantage of hdfs,option b c and d is the advantage of hdfs,"['option', 'b', 'c', 'advantage', 'hdfs']",Positive,Neutral,POSITIVE,0.987125813961029,"['option b c', 'hdfs', 'advantage']","['option', 'hdfs', 'advantage']","['advantage', 'hdfs', 'option']"
295,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.6408483386039734,['ensure fault tolerance'],"['ensure', 'tolerance', 'fault']","['ensure', 'tolerance', 'fault']"
296,C: Fault tolerance is the answer,C: Fault tolerance is the answer,c: fault tolerance is the answer,"['c', ':', 'fault', 'tolerance', 'answer']",Negative,Neutral,NEGATIVE,0.99602472782135,"['fault tolerance', 'c', 'answer']","['fault', 'answer', 'tolerance']","['answer', 'tolerance', 'fault']"
297,The answer is to ensures fault tolerance.,The answer is to ensures fault tolerance.,the answer is to ensures fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9823545217514038,"['ensures fault tolerance', 'answer']","['tolerance', 'answer', 'ensures', 'fault']","['ensures', 'answer', 'tolerance', 'fault']"
298,c) ensures fault tolerance,c) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
299,C.Ensures Fault tolerance,C.Ensures Fault tolerance,censures fault tolerance,"['censure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9939783811569214,['censures fault tolerance'],"['censures', 'tolerance', 'fault']","['censures', 'tolerance', 'fault']"
300,3x replication in HDFS ensures fault tolerance.,3x replication in HDFS ensures fault tolerance.,x replication in hdfs ensures fault tolerance,"['x', 'replication', 'hdfs', 'ensure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.6149247884750366,"['hdfs ensures fault tolerance', 'x replication']","['tolerance', 'replication', 'hdfs', 'ensures', 'fault']","['hdfs', 'replication', 'ensures', 'tolerance', 'fault']"
301,it ensures fault tolerance,it ensures fault tolerance,it ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9306092858314514,['ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
302,amazing,amazing,amazing,['amazing'],Positive,Positive,POSITIVE,0.999875545501709,['amazing'],['amazing'],['amazing']
303,All of the above are advantages,All of the above are advantages,all of the above are advantages,['advantage'],Positive,Neutral,POSITIVE,0.9996776580810548,['advantages'],['advantages'],['advantages']
304,C ensures fault tolerance,C ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
305,"Well the Answer is To Ensure Fault Tolerance
If any case our data got erase or corrupt we can still have it as backup","Well the Answer is To Ensure Fault Tolerance
If any case our data got erase or corrupt we can still have it as backup",well the answer is to ensure fault tolerance if any case our data got erase or corrupt we can still have it as backup,"['well', 'answer', 'ensure', 'fault', 'tolerance', 'case', 'datum', 'get', 'erase', 'corrupt', 'still', 'backup']",Positive,Negative,NEGATIVE,0.9926589131355286,"['ensure fault tolerance', 'data got erase', 'well', 'still', 'corrupt', 'case', 'backup', 'answer']","['backup', 'answer', 'ensure', 'fault', 'tolerance', 'case', 'data', 'erase', 'corrupt']","['data', 'ensure', 'answer', 'tolerance', 'fault']"
306,Supports parallel processing,Supports parallel processing,supports parallel processing,"['support', 'parallel', 'processing']",Positive,Neutral,POSITIVE,0.9953300952911376,['supports parallel processing'],"['supports', 'processing', 'parallel']","['processing', 'parallel']"
307,C Option : Ensure fault tolerance,C Option : Ensure fault tolerance,c option : ensure fault tolerance,"['c', 'option', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.7340325117111206,"['ensure fault tolerance', 'c option']","['option', 'ensure', 'tolerance', 'fault']","['option', 'ensure', 'tolerance', 'fault']"
308,Answer is c) Ensure Fault Tolerance,Answer is c) Ensure Fault Tolerance,answer is c ensure fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9618850350379944,"['c ensure fault tolerance', 'answer']","['answer', 'tolerance', 'ensure', 'fault']","['ensure', 'answer', 'tolerance', 'fault']"
309,It Ensures fault tolerance,It Ensures fault tolerance,it ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9306092858314514,['ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
310,"option c, ensure fault tolerance","option c, ensure fault tolerance",option c ensure fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.5117332339286804,['option c ensure fault tolerance'],"['option', 'tolerance', 'ensure', 'fault']","['option', 'ensure', 'tolerance', 'fault']"
311,answer C: fault-tolerance,answer C: fault-tolerance,answer c: faulttolerance,"['answer', 'c', ':', 'faulttolerance']",Neutral,Neutral,NEGATIVE,0.9932441115379332,"['answer c', 'faulttolerance']","['faulttolerance', 'answer']",['answer']
312,C ensures fault tolerance,C ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
313,Option C. Ensures Fault Tolerance,Option C. Ensures Fault Tolerance,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9182825088500975,['option c ensures fault tolerance'],"['option', 'tolerance', 'ensures', 'fault']","['option', 'ensures', 'tolerance', 'fault']"
314,option C ensures data fault tolerance,option C ensures data fault tolerance,option c ensures data fault tolerance,"['option', 'c', 'ensure', 'data', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.667521595954895,['option c ensures data fault tolerance'],"['option', 'tolerance', 'ensures', 'data', 'fault']","['data', 'option', 'ensures', 'tolerance', 'fault']"
315,"answer is ""data is not lost at any cost; even if one DataNode crashes, hence HDFS is ensure fault-tolerant.""","answer is ""data is not lost at any cost; even if one DataNode crashes, hence HDFS is ensure fault-tolerant.""",answer is data is not lost at any cost even if one datanode crashes hence hdfs is ensure faulttolerant,"['answer', 'datum', 'lose', 'cost', 'even', 'one', 'datanode', 'crash', 'hence', 'hdfs', 'ensure', 'faulttolerant']",Positive,Neutral,NEGATIVE,0.5667117238044739,"['one datanode crashes hence hdfs', 'ensure faulttolerant', 'cost even', 'lost', 'data', 'answer']","['answer', 'faulttolerant', 'data', 'lost', 'cost', 'datanode', 'crashes', 'hdfs', 'ensure']","['cost', 'crashes', 'hdfs', 'data', 'ensure', 'answer']"
316,"The answer to the question is fault tolerance. But I have a doubt, when 3x replication happens the storage amount also increases by 3 right. does that cost more on storage ?","The answer to the question is fault tolerance. But I have a doubt, when 3x replication happens the storage amount also increases by 3 right. does that cost more on storage ?",the answer to the question is fault tolerance but i have a doubt when x replication happens the storage amount also increases by right does that cost more on storage,"['answer', 'question', 'fault', 'tolerance', 'doubt', 'x', 'replication', 'happen', 'storage', 'amount', 'also', 'increase', 'right', 'cost', 'storage']",Negative,Positive,NEGATIVE,0.9961470365524292,"['storage amount also increases', 'x replication happens', 'fault tolerance', 'storage', 'right', 'question', 'doubt', 'cost', 'answer']","['storage', 'answer', 'question', 'fault', 'tolerance', 'doubt', 'replication', 'amount', 'increases', 'cost']","['storage', 'does', 'cost', 'right', 'question', 'replication', 'answer', 'tolerance', 'fault']"
317,answer of the question :  is c ) Ensures fault tolerance,answer of the question :  is c ) Ensures fault tolerance,answer of the question : is c ensures fault tolerance,"['answer', 'question', ':', 'c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.512161910533905,"['c ensures fault tolerance', 'question', 'answer']","['answer', 'question', 'tolerance', 'ensures', 'fault']","['question', 'ensures', 'answer', 'tolerance', 'fault']"
318,The answer is: C) Ensures fault tolerance,The answer is: C) Ensures fault tolerance,the answer is: c ensures fault tolerance,"['answer', ':', 'c', 'ensure', 'fault', 'tolerance']",Negative,Negative,POSITIVE,0.7591703534126282,"['c ensures fault tolerance', 'answer']","['tolerance', 'answer', 'ensures', 'fault']","['ensures', 'answer', 'tolerance', 'fault']"
319,I can’t believe i understood this.,I can’t believe i understood this.,i cant believe i understood this,"['can', 'not', 'believe', 'understand']",Neutral,Neutral,NEGATIVE,0.7653670310974121,"['cant believe', 'understood']",['understood'],[]
320,Answer is C  - fault tolerance,Answer is C  - fault tolerance,answer is c fault tolerance,"['answer', 'c', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9953041076660156,"['c fault tolerance', 'answer']","['answer', 'tolerance', 'fault']","['answer', 'tolerance', 'fault']"
321,"c) Ensures fault tolerance.

Answer to the question  at 05:25 :)","c) Ensures fault tolerance.

Answer to the question  at 05:25 :)",c ensures fault tolerance answer to the question at : :,"['c', 'ensure', 'fault', 'tolerance', 'answer', 'question', ':', ':']",Negative,Neutral,POSITIVE,0.9744174480438232,"['c ensures fault tolerance answer', 'question']","['ensures', 'fault', 'tolerance', 'answer', 'question']","['question', 'ensures', 'answer', 'tolerance', 'fault']"
322,The answer is To ensure fault tolerance,The answer is To ensure fault tolerance,the answer is to ensure fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9871276617050172,"['ensure fault tolerance', 'answer']","['tolerance', 'answer', 'ensure', 'fault']","['ensure', 'answer', 'tolerance', 'fault']"
323,Very good!,Very good!,very good,['good'],Positive,Positive,POSITIVE,0.9998520612716676,['good'],['good'],['good']
324,option c ensures fault tolerance.,option c ensures fault tolerance.,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9182825088500975,['option c ensures fault tolerance'],"['option', 'tolerance', 'ensures', 'fault']","['option', 'ensures', 'tolerance', 'fault']"
325,HDFS 3X schema: Ensure fault tolerance.,HDFS 3X schema: Ensure fault tolerance.,hdfs x schema: ensure fault tolerance,"['hdfs', 'x', 'schema', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9707404375076294,"['hdfs x schema', 'ensure fault tolerance']","['hdfs', 'schema', 'ensure', 'tolerance', 'fault']","['schema', 'hdfs', 'ensure', 'tolerance', 'fault']"
326,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
327,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
328,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
329,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
330,Option c correct,Option c correct,option c correct,"['option', 'c', 'correct']",Neutral,Neutral,POSITIVE,0.9993658661842346,['option c correct'],"['option', 'correct']","['correct', 'option']"
331,C - Ensures fault tolerance,C - Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
332,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
333,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
334,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
335,ans is C. Ensures fault tolerance,ans is C. Ensures fault tolerance,ans is c ensures fault tolerance,"['ans', 'c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.5248121619224548,"['c ensures fault tolerance', 'ans']","['ans', 'tolerance', 'ensures', 'fault']","['ans', 'ensures', 'tolerance', 'fault']"
336,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
337,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
338,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9771146178245544,['ensures fault tolerance'],"['ensures', 'tolerance', 'fault']","['ensures', 'tolerance', 'fault']"
339,"Answer is ""A: Parallel processing""","Answer is ""A: Parallel processing""",answer is a: parallel processing,"['answer', ':', 'parallel', 'processing']",Neutral,Neutral,NEGATIVE,0.9830180406570436,"['parallel processing', 'answer']","['answer', 'parallel', 'processing']","['processing', 'parallel', 'answer']"
340,Option C is correct.,Option C is correct.,option c is correct,"['option', 'c', 'correct']",Neutral,Neutral,POSITIVE,0.9993643164634703,"['option c', 'correct']","['option', 'correct']","['correct', 'option']"
341,The answer is 3)   Ensures fault tolerance,The answer is 3)   Ensures fault tolerance,the answer is ensures fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.6035003662109375,"['ensures fault tolerance', 'answer']","['tolerance', 'answer', 'ensures', 'fault']","['ensures', 'answer', 'tolerance', 'fault']"
342,To ensure fault tolerance,To ensure fault tolerance,to ensure fault tolerance,"['ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9849714636802672,['ensure fault tolerance'],"['tolerance', 'ensure', 'fault']","['ensure', 'tolerance', 'fault']"
343,c. Ensures fault tolerance,c. Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Negative,Neutral,POSITIVE,0.9650704860687256,['c ensures fault tolerance'],"['tolerance', 'ensures', 'fault']","['ensures', 'tolerance', 'fault']"
344,C is the correct option.,C is the correct option.,c is the correct option,"['c', 'correct', 'option']",Neutral,Neutral,POSITIVE,0.9996007084846495,"['correct option', 'c']","['option', 'correct']","['correct', 'option']"
345,Option c is the correct answer,Option c is the correct answer,option c is the correct answer,"['option', 'c', 'correct', 'answer']",Neutral,Neutral,POSITIVE,0.9990369081497192,"['option c', 'correct answer']","['option', 'answer', 'correct']","['correct', 'option', 'answer']"
346,Answer for your question is 3×replication   ensures fault tolerance,Answer for your question is 3×replication   ensures fault tolerance,answer for your question is replication ensures fault tolerance,"['answer', 'question', 'replication', 'ensure', 'fault', 'tolerance']",Negative,Neutral,NEGATIVE,0.9069235920906068,"['replication ensures fault tolerance', 'question', 'answer']","['answer', 'tolerance', 'question', 'replication', 'ensures', 'fault']","['question', 'replication', 'ensures', 'answer', 'tolerance', 'fault']"
347,Answer : (c) fault tolerance,Answer : (c) fault tolerance,answer : c fault tolerance,"['answer', ':', 'c', 'fault', 'tolerance']",Negative,Negative,NEGATIVE,0.9970909357070924,"['c fault tolerance', 'answer']","['answer', 'tolerance', 'fault']","['answer', 'tolerance', 'fault']"
348,"Answer of Question is C ,Ensure  fault tolerence","Answer of Question is C ,Ensure  fault tolerence",answer of question is c ensure fault tolerence,"['answer', 'question', 'c', 'ensure', 'fault', 'tolerence']",Neutral,Neutral,NEGATIVE,0.9876450896263124,"['c ensure fault tolerence', 'question', 'answer']","['answer', 'tolerence', 'question', 'ensure', 'fault']","['tolerence', 'question', 'ensure', 'answer', 'fault']"
349,The answer is : Ensure fault tolerance,The answer is : Ensure fault tolerance,the answer is : ensure fault tolerance,"['answer', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.9699602127075196,"['ensure fault tolerance', 'answer']","['ensure', 'tolerance', 'answer', 'fault']","['ensure', 'answer', 'tolerance', 'fault']"
350,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.6408483386039734,['ensure fault tolerance'],"['ensure', 'tolerance', 'fault']","['ensure', 'tolerance', 'fault']"
351,advantage of 3X replication schema is it ensures fault tolerance.,advantage of 3X replication schema is it ensures fault tolerance.,advantage of x replication schema is it ensures fault tolerance,"['advantage', 'x', 'replication', 'schema', 'ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.9695783853530884,"['x replication schema', 'ensures fault tolerance', 'advantage']","['advantage', 'tolerance', 'replication', 'schema', 'ensures', 'fault']","['advantage', 'schema', 'replication', 'ensures', 'tolerance', 'fault']"
352,C ensuring fault tolerance,C ensuring fault tolerance,c ensuring fault tolerance,"['c', 'ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.7044923305511475,['c ensuring fault tolerance'],"['tolerance', 'ensuring', 'fault']","['tolerance', 'fault']"
353,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']",Positive,Neutral,POSITIVE,0.6408483386039734,['ensure fault tolerance'],"['ensure', 'tolerance', 'fault']","['ensure', 'tolerance', 'fault']"
354,OPT C] Fault Tolarance,OPT C] Fault Tolarance,opt c fault tolarance,"['opt', 'c', 'fault', 'tolarance']",Negative,Neutral,NEGATIVE,0.9993939399719238,['opt c fault tolarance'],"['opt', 'tolarance', 'fault']",['fault']
355,Ans: Ensures for tolerance,Ans: Ensures for tolerance,ans: ensures for tolerance,"['ans', ':', 'ensure', 'tolerance']",Positive,Neutral,POSITIVE,0.9928812980651855,"['tolerance', 'ensures', 'ans']","['ans', 'ensures', 'tolerance']","['ans', 'ensures', 'tolerance']"
